	locus_tag
176	MtrunA17_Chr0c04g0492081
177	MtrunA17_Chr0c04g0492091
178	MtrunA17_Chr0c05g0492121
179	MtrunA17_Chr0c05g0492131
180	MtrunA17_Chr0c05g0492141
181	MtrunA17_Chr0c05g0492161
182	MtrunA17_Chr0c06g0493481
183	MtrunA17_Chr0c09g0493491
184	MtrunA17_Chr0c09g0493501
185	MtrunA17_Chr0c09g0493511
186	MtrunA17_Chr0c09g0493521
187	MtrunA17_Chr0c09g0493531
188	MtrunA17_Chr0c09g0493541
189	MtrunA17_Chr0c09g0493551
190	MtrunA17_Chr0c09g0493581
191	MtrunA17_Chr0c10g0493591
192	MtrunA17_Chr0c10g0493611
193	MtrunA17_Chr0c12g0493631
194	MtrunA17_Chr0c12g0493641
195	MtrunA17_Chr0c12g0493651
196	MtrunA17_Chr0c12g0493661
197	MtrunA17_Chr0c12g0493671
198	MtrunA17_Chr0c12g0493681
199	MtrunA17_Chr0c14g0493691
200	MtrunA17_Chr0c14g0493701
201	MtrunA17_Chr0c15g0493711
202	MtrunA17_Chr0c17g0493721
203	MtrunA17_Chr0c18g0493731
204	MtrunA17_Chr0c18g0493741
205	MtrunA17_Chr0c18g0493751
206	MtrunA17_Chr0c19g0493761
207	MtrunA17_Chr0c19g0493771
208	MtrunA17_Chr0c19g0493781
209	MtrunA17_Chr0c19g0493791
210	MtrunA17_Chr0c20g0493811
211	MtrunA17_Chr0c20g0493821
212	MtrunA17_Chr0c20g0493831
213	MtrunA17_Chr0c20g0493841
214	MtrunA17_Chr0c22g0493851
215	MtrunA17_Chr0c22g0493861
216	MtrunA17_Chr0c22g0493871
217	MtrunA17_Chr0c22g0493881
218	MtrunA17_Chr0c27g0493891
219	MtrunA17_Chr0c27g0493901
220	MtrunA17_Chr0c27g0493911
221	MtrunA17_Chr0c27g0493921
222	MtrunA17_Chr0c28g0493931
223	MtrunA17_Chr0c28g0493941
224	MtrunA17_Chr0c28g0493951
225	MtrunA17_Chr0c28g0493961
226	MtrunA17_Chr0c29g0493981
227	MtrunA17_Chr0c29g0493991
228	MtrunA17_Chr0c29g0494001
229	MtrunA17_Chr0c29g0494011
230	MtrunA17_Chr0c29g0494021
231	MtrunA17_Chr0c29g0494031
232	MtrunA17_Chr0c29g0494041
233	MtrunA17_Chr0c30g0494061
234	MtrunA17_Chr0c30g0494071
235	MtrunA17_Chr0c30g0494081
236	MtrunA17_Chr0c30g0494091
237	MtrunA17_Chr0c30g0494101
238	MtrunA17_Chr0c30g0494111
239	MtrunA17_Chr0c31g0494131
240	MtrunA17_Chr0c31g0494141
241	MtrunA17_Chr0c31g0494151
242	MtrunA17_Chr0c31g0494161
243	MtrunA17_Chr0c32g0494171
244	MtrunA17_Chr0c32g0494181
245	MtrunA17_Chr0c32g0494191
246	MtrunA17_Chr0c32g0494201
247	MtrunA17_Chr1g0146101
248	MtrunA17_Chr1g0146111
249	MtrunA17_Chr1g0146121
250	MtrunA17_Chr1g0146131
251	MtrunA17_Chr1g0146141
252	MtrunA17_Chr1g0146151
253	MtrunA17_Chr1g0146161
254	MtrunA17_Chr1g0146171
255	MtrunA17_Chr1g0146181
